"","id","name","sex","age","height","weight","team","noc","games","year","season","city","sport","event","medal","gold","sex_c","event_gender"
"1","16","Juhamatti Tapio Aaltonen","M",28,184,85,"Finland","FIN","2014 Winter",2014,"Winter","Sochi","Ice Hockey","Ice Hockey  Ice Hockey","Bronze","0",-0.5,"Men's"
"2","20","Kjetil Andr Aamodt","M",22,176,85,"Norway","NOR","1994 Winter",1994,"Winter","Lillehammer","Alpine Skiing","Alpine Skiing  Downhill","Silver","0",-0.5,"Men's"
"3","20","Kjetil Andr Aamodt","M",22,176,85,"Norway","NOR","1994 Winter",1994,"Winter","Lillehammer","Alpine Skiing","Alpine Skiing  Super G","Bronze","0",-0.5,"Men's"
"4","20","Kjetil Andr Aamodt","M",22,176,85,"Norway","NOR","1994 Winter",1994,"Winter","Lillehammer","Alpine Skiing","Alpine Skiing  Combined","Silver","0",-0.5,"Men's"
"5","20","Kjetil Andr Aamodt","M",30,176,85,"Norway","NOR","2002 Winter",2002,"Winter","Salt Lake City","Alpine Skiing","Alpine Skiing  Super G","Gold","1",-0.5,"Men's"
"6","20","Kjetil Andr Aamodt","M",30,176,85,"Norway","NOR","2002 Winter",2002,"Winter","Salt Lake City","Alpine Skiing","Alpine Skiing  Combined","Gold","1",-0.5,"Men's"
"7","20","Kjetil Andr Aamodt","M",34,176,85,"Norway","NOR","2006 Winter",2006,"Winter","Torino","Alpine Skiing","Alpine Skiing  Super G","Gold","1",-0.5,"Men's"
"8","30","Pepijn Aardewijn","M",26,189,72,"Netherlands","NED","1996 Summer",1996,"Summer","Atlanta","Rowing","Rowing  Lightweight Double Sculls","Silver","0",-0.5,"Men's"
"9","37","Ann Kristin Aarnes","F",23,182,64,"Norway","NOR","1996 Summer",1996,"Summer","Atlanta","Football","Football  Football","Bronze","0",0.5,"Women's"
"10","62","Giovanni Abagnale","M",21,198,90,"Italy","ITA","2016 Summer",2016,"Summer","Rio de Janeiro","Rowing","Rowing  Coxless Pairs","Bronze","0",-0.5,"Men's"
"11","63","Jos Luis Abajo Gmez","M",30,194,87,"Spain","ESP","2008 Summer",2008,"Summer","Beijing","Fencing","Fencing  epee, Individual","Bronze","0",-0.5,"Men's"
"12","65","Patimat Abakarova","F",21,165,49,"Azerbaijan","AZE","2016 Summer",2016,"Summer","Rio de Janeiro","Taekwondo","Taekwondo  Flyweight","Bronze","0",0.5,"Women's"
"13","67","Mariya Vasilyevna Abakumova (-Tarabina)","F",22,179,80,"Russia","RUS","2008 Summer",2008,"Summer","Beijing","Athletics","Athletics  Javelin Throw","Silver","0",0.5,"Women's"
"14","72","Aleksey Aleksandrovich Abalmasov","M",28,180,83,"Belarus","BLR","2008 Summer",2008,"Summer","Beijing","Canoeing","Canoeing  Kayak Fours, 1,000 metres","Gold","1",-0.5,"Men's"
"15","73","Luc Abalo","M",23,182,86,"France","FRA","2008 Summer",2008,"Summer","Beijing","Handball","Handball  Handball","Gold","1",-0.5,"Men's"
"16","73","Luc Abalo","M",27,182,86,"France","FRA","2012 Summer",2012,"Summer","London","Handball","Handball  Handball","Gold","1",-0.5,"Men's"
"17","73","Luc Abalo","M",31,182,86,"France","FRA","2016 Summer",2016,"Summer","Rio de Janeiro","Handball","Handball  Handball","Silver","0",-0.5,"Men's"
"18","76","Jouan Patrice Abanda Etong","M",22,185,82,"Cameroon","CMR","2000 Summer",2000,"Summer","Sydney","Football","Football  Football","Gold","1",-0.5,"Men's"
"19","80","Jos Mara Abarca Plotas","M",22,186,83,"Spain","ESP","1996 Summer",1996,"Summer","Atlanta","Water Polo","Water Polo  Water Polo","Gold","1",-0.5,"Men's"
"20","84","Stephen Anthony Abas","M",26,165,55,"United States","USA","2004 Summer",2004,"Summer","Athina","Wrestling","Wrestling  Featherweight, Freestyle","Silver","0",-0.5,"Men's"
"21","90","Tamila Rashidovna Abasova","F",21,163,60,"Russia","RUS","2004 Summer",2004,"Summer","Athina","Cycling","Cycling  Sprint","Silver","0",0.5,"Women's"
"22","93","Jol Marc Abati","M",38,190,85,"France","FRA","2008 Summer",2008,"Summer","Beijing","Handball","Handball  Handball","Gold","1",-0.5,"Men's"
"23","106","Agostino Abbagnale","M",29,188,96,"Italy","ITA","1996 Summer",1996,"Summer","Atlanta","Rowing","Rowing  Double Sculls","Gold","1",-0.5,"Men's"
